cond	medium	cov	log2ptr	passed	growth_rate	pred_log2ptr
pileaFrag	M6	2.0000	1.5875	True	1.3549	1.3298
pileaFrag	M6	5.0000	1.3775	True	1.3549	1.3298
pileaFrag	RUN_OUT	0.5000	0.0000	True		
pileaFrag	RUN_OUT	10.0000	0.2030	True		
pileaFrag	RUN_OUT	1.0000	1.1532	True		
pileaFrag	RUN_OUT	2.0000	0.6209	True		
pileaFrag	RUN_OUT	5.0000	0.2553	True		
scafRel	M10	0.5000	0.8628	False	1.1500	1.2108
scafRel	M10	10.0000	1.2457	True	1.1500	1.2108
scafRel	M10	1.0000	1.0236	False	1.1500	1.2108
scafRel	M10	2.0000	1.1694	True	1.1500	1.2108
scafRel	M10	5.0000	1.2248	True	1.1500	1.2108
scafRel	M12	0.5000	1.1992	False	1.0220	1.1568
scafRel	M12	10.0000	1.2934	True	1.0220	1.1568
scafRel	M12	1.0000	1.0130	False	1.0220	1.1568
scafRel	M12	2.0000	1.1691	False	1.0220	1.1568
scafRel	M12	5.0000	1.2185	True	1.0220	1.1568
scafRel	M13	0.5000	0.8371	False	0.8612	1.0326
scafRel	M13	10.0000	1.0367	False	0.8612	1.0326
scafRel	M13	1.0000	0.7664	False	0.8612	1.0326
scafRel	M13	2.0000	0.9796	False	0.8612	1.0326
scafRel	M13	5.0000	1.0120	False	0.8612	1.0326
scafRel	M17	0.5000	0.4491	False	0.7440	0.7020
scafRel	M17	10.0000	0.7787	True	0.7440	0.7020
scafRel	M17	1.0000	0.7613	False	0.7440	0.7020
scafRel	M17	2.0000	0.6378	True	0.7440	0.7020
scafRel	M17	5.0000	0.7029	True	0.7440	0.7020
scafRel	M18	0.5000	0.6953	False	0.7413	0.8578
scafRel	M18	10.0000	0.8800	True	0.7413	0.8578
scafRel	M18	1.0000	0.7288	False	0.7413	0.8578
scafRel	M18	2.0000	0.8804	False	0.7413	0.8578
scafRel	M18	5.0000	0.9081	False	0.7413	0.8578
scafRel	M19	0.5000	0.5939	False	0.5776	0.8862
scafRel	M19	10.0000	0.8981	True	0.5776	0.8862
scafRel	M19	1.0000	0.7630	False	0.5776	0.8862
scafRel	M19	2.0000	0.7083	False	0.5776	0.8862
scafRel	M19	5.0000	0.8953	True	0.5776	0.8862
scafRel	M1	0.5000	1.2742	False	1.7207	1.7250
scafRel	M1	10.0000	1.8378	True	1.7207	1.7250
scafRel	M1	1.0000	1.5846	False	1.7207	1.7250
scafRel	M1	2.0000	1.7520	True	1.7207	1.7250
scafRel	M1	5.0000	1.8336	True	1.7207	1.7250
scafRel	M22	0.5000	0.5949	False	0.4892	0.7233
scafRel	M22	10.0000	0.7135	True	0.4892	0.7233
scafRel	M22	1.0000	0.6268	False	0.4892	0.7233
scafRel	M22	2.0000	0.7085	True	0.4892	0.7233
scafRel	M22	5.0000	0.7035	True	0.4892	0.7233
scafRel	M23	0.5000	0.5203	False	0.4770	0.5420
scafRel	M23	10.0000	0.5585	False	0.4770	0.5420
scafRel	M23	1.0000	0.5258	False	0.4770	0.5420
scafRel	M23	2.0000	0.6332	True	0.4770	0.5420
scafRel	M23	5.0000	0.6168	True	0.4770	0.5420
scafRel	M24	0.5000	0.3935	False	0.4648	0.6861
scafRel	M24	10.0000	0.6851	True	0.4648	0.6861
scafRel	M24	1.0000	0.6402	False	0.4648	0.6861
scafRel	M24	2.0000	0.6683	True	0.4648	0.6861
scafRel	M24	5.0000	0.7014	True	0.4648	0.6861
scafRel	M25	0.5000	0.6321	False	0.4346	0.6425
scafRel	M25	10.0000	0.6728	True	0.4346	0.6425
scafRel	M25	1.0000	0.6863	False	0.4346	0.6425
scafRel	M25	2.0000	0.5930	True	0.4346	0.6425
scafRel	M25	5.0000	0.6048	False	0.4346	0.6425
scafRel	M27	0.5000	0.3530	False	0.3992	0.5526
scafRel	M27	10.0000	0.5566	True	0.3992	0.5526
scafRel	M27	1.0000	0.4708	False	0.3992	0.5526
scafRel	M27	2.0000	0.4800	True	0.3992	0.5526
scafRel	M27	5.0000	0.5189	True	0.3992	0.5526
scafRel	M2	0.5000	1.2929	False	1.5100	1.6844
scafRel	M2	10.0000	1.9435	True	1.5100	1.6844
scafRel	M2	1.0000	1.3733	False	1.5100	1.6844
scafRel	M2	2.0000	1.4480	False	1.5100	1.6844
scafRel	M2	5.0000	1.7700	True	1.5100	1.6844
scafRel	M3	0.5000	1.0966	False	1.4380	1.4630
scafRel	M3	10.0000	1.5244	True	1.4380	1.4630
scafRel	M3	1.0000	1.2684	False	1.4380	1.4630
scafRel	M3	2.0000	1.4674	True	1.4380	1.4630
scafRel	M3	5.0000	1.5542	True	1.4380	1.4630
scafRel	M4	0.5000	1.2012	False	1.3718	1.5315
scafRel	M4	10.0000	1.6130	True	1.3718	1.5315
scafRel	M4	1.0000	1.3814	False	1.3718	1.5315
scafRel	M4	2.0000	1.3276	False	1.3718	1.5315
scafRel	M4	5.0000	1.4963	True	1.3718	1.5315
scafRel	M6	0.5000	1.1015	False	1.3549	1.3298
scafRel	M6	10.0000	1.3244	True	1.3549	1.3298
scafRel	M6	1.0000	1.2355	False	1.3549	1.3298
scafRel	M6	2.0000	1.3620	True	1.3549	1.3298
scafRel	M6	5.0000	1.3397	True	1.3549	1.3298
scafRel	RUN_OUT	0.5000	0.2994	False		
scafRel	RUN_OUT	10.0000	0.0517	False		
scafRel	RUN_OUT	1.0000	0.1128	False		
scafRel	RUN_OUT	2.0000	0.1228	True		
scafRel	RUN_OUT	5.0000	0.0639	True		
scafSelf	M10	0.5000	0.9097	False	1.1500	1.2108
scafSelf	M10	10.0000	1.2229	True	1.1500	1.2108
scafSelf	M10	1.0000	1.0813	False	1.1500	1.2108
scafSelf	M10	2.0000	1.1365	True	1.1500	1.2108
scafSelf	M10	5.0000	1.1899	True	1.1500	1.2108
scafSelf	M12	0.5000	1.1118	False	1.0220	1.1568
scafSelf	M12	10.0000	1.2650	False	1.0220	1.1568
scafSelf	M12	1.0000	1.0050	False	1.0220	1.1568
scafSelf	M12	2.0000	1.1470	False	1.0220	1.1568
scafSelf	M12	5.0000	1.2126	True	1.0220	1.1568
scafSelf	M13	0.5000	0.7353	False	0.8612	1.0326
scafSelf	M13	10.0000	1.0311	True	0.8612	1.0326
scafSelf	M13	1.0000	0.8914	False	0.8612	1.0326
scafSelf	M13	2.0000	0.9114	False	0.8612	1.0326
scafSelf	M13	5.0000	1.0155	False	0.8612	1.0326
scafSelf	M17	0.5000	0.4890	False	0.7440	0.7020
scafSelf	M17	10.0000	0.7625	True	0.7440	0.7020
scafSelf	M17	1.0000	0.7434	False	0.7440	0.7020
scafSelf	M17	2.0000	0.6887	True	0.7440	0.7020
scafSelf	M17	5.0000	0.6838	True	0.7440	0.7020
scafSelf	M18	0.5000	0.7903	False	0.7413	0.8578
scafSelf	M18	10.0000	0.8673	True	0.7413	0.8578
scafSelf	M18	1.0000	0.7343	False	0.7413	0.8578
scafSelf	M18	2.0000	0.8571	False	0.7413	0.8578
scafSelf	M18	5.0000	0.8850	False	0.7413	0.8578
scafSelf	M19	0.5000	0.5623	False	0.5776	0.8862
scafSelf	M19	10.0000	0.8722	False	0.5776	0.8862
scafSelf	M19	1.0000	0.6780	False	0.5776	0.8862
scafSelf	M19	2.0000	0.6314	False	0.5776	0.8862
scafSelf	M19	5.0000	0.8797	True	0.5776	0.8862
scafSelf	M1	0.5000	1.3258	False	1.7207	1.7250
scafSelf	M1	10.0000	1.7979	True	1.7207	1.7250
scafSelf	M1	1.0000	1.5883	False	1.7207	1.7250
scafSelf	M1	2.0000	1.6921	True	1.7207	1.7250
scafSelf	M1	5.0000	1.7854	True	1.7207	1.7250
scafSelf	M22	0.5000	0.6242	False	0.4892	0.7233
scafSelf	M22	10.0000	0.7134	True	0.4892	0.7233
scafSelf	M22	1.0000	0.5745	False	0.4892	0.7233
scafSelf	M22	2.0000	0.7014	True	0.4892	0.7233
scafSelf	M22	5.0000	0.6831	False	0.4892	0.7233
scafSelf	M23	0.5000	0.5242	False	0.4770	0.5420
scafSelf	M23	10.0000	0.5526	False	0.4770	0.5420
scafSelf	M23	1.0000	0.5025	False	0.4770	0.5420
scafSelf	M23	2.0000	0.6443	True	0.4770	0.5420
scafSelf	M23	5.0000	0.5958	False	0.4770	0.5420
scafSelf	M24	0.5000	0.3218	False	0.4648	0.6861
scafSelf	M24	10.0000	0.6703	True	0.4648	0.6861
scafSelf	M24	1.0000	0.5839	False	0.4648	0.6861
scafSelf	M24	2.0000	0.6240	False	0.4648	0.6861
scafSelf	M24	5.0000	0.6842	True	0.4648	0.6861
scafSelf	M25	0.5000	0.6428	False	0.4346	0.6425
scafSelf	M25	10.0000	0.6461	False	0.4346	0.6425
scafSelf	M25	1.0000	0.7005	False	0.4346	0.6425
scafSelf	M25	2.0000	0.5895	True	0.4346	0.6425
scafSelf	M25	5.0000	0.6096	False	0.4346	0.6425
scafSelf	M27	0.5000	0.3368	False	0.3992	0.5526
scafSelf	M27	10.0000	0.5490	True	0.3992	0.5526
scafSelf	M27	1.0000	0.4509	False	0.3992	0.5526
scafSelf	M27	2.0000	0.4503	False	0.3992	0.5526
scafSelf	M27	5.0000	0.5007	True	0.3992	0.5526
scafSelf	M2	0.5000	1.1081	False	1.5100	1.6844
scafSelf	M2	10.0000	1.8397	True	1.5100	1.6844
scafSelf	M2	1.0000	1.3867	False	1.5100	1.6844
scafSelf	M2	2.0000	1.4291	False	1.5100	1.6844
scafSelf	M2	5.0000	1.6472	True	1.5100	1.6844
scafSelf	M3	0.5000	1.0570	False	1.4380	1.4630
scafSelf	M3	10.0000	1.5112	False	1.4380	1.4630
scafSelf	M3	1.0000	1.2369	False	1.4380	1.4630
scafSelf	M3	2.0000	1.4511	True	1.4380	1.4630
scafSelf	M3	5.0000	1.5292	False	1.4380	1.4630
scafSelf	M4	0.5000	1.0888	False	1.3718	1.5315
scafSelf	M4	10.0000	1.5539	True	1.3718	1.5315
scafSelf	M4	1.0000	1.3507	False	1.3718	1.5315
scafSelf	M4	2.0000	1.2861	False	1.3718	1.5315
scafSelf	M4	5.0000	1.4542	True	1.3718	1.5315
scafSelf	M6	0.5000	1.0138	False	1.3549	1.3298
scafSelf	M6	10.0000	1.2922	True	1.3549	1.3298
scafSelf	M6	1.0000	1.1708	False	1.3549	1.3298
scafSelf	M6	2.0000	1.3067	True	1.3549	1.3298
scafSelf	M6	5.0000	1.3364	True	1.3549	1.3298
scafSelf	RUN_OUT	0.5000	0.2567	False		
scafSelf	RUN_OUT	10.0000	0.0586	False		
scafSelf	RUN_OUT	1.0000	0.0784	False		
scafSelf	RUN_OUT	2.0000	0.1037	True		
scafSelf	RUN_OUT	5.0000	0.0552	False		
