species	n_samples	n_observations	median_log2PTR	q1_log2PTR	q3_log2PTR	median_PTR	median_coverage	median_containment	median_windows	median_anchors	median_ori_confidence	clean_denture_median_log2PTR	unclean_denture_median_log2PTR	unclean_minus_clean_log2PTR	mannwhitney_p	mannwhitney_fdr_bh	median_relative_abundance_all_samples	median_nonzero_relative_abundance
Peptidiphaga_gingivicola	6	6	0.99815880905	0.947853219475	1.02630535725	1.997462381	6.761396574	0.02094618996	19.0	1898.0	0.87086182975		0.99815880905				0.0	3.256067088188455e-05
Kingella_B_oralis	9	9	0.9861877305	0.8690901714	1.296280719	1.980943497	8.624407841	0.0245215311	19.0	1239.0	0.9843065257	1.504970177	0.97686303435	-0.5281071426499999			0.0	0.00016736629100790143
Rothia_mucilaginosa_B	13	13	0.9821832794	0.7467679155	1.153564044	1.975452668	56.70020541	0.08700440529	52.0	260.0	0.9934769485	0.4633287818	1.0254768517000001	0.5621480699000001	0.46853146853146854	1.0	0.0	0.0039189906170432
Capnocytophaga_gingivalis	12	12	0.9790309242999999	0.77604212445	1.21311131725	1.9713028765	11.2221494045	0.10844529751000001	19.5	412.0	0.97838462115	0.8277719083	0.9975244648	0.16975255649999998	1.0	1.0	0.0	0.0005068616647581
Pauljensenia_sp000411415	8	8	0.95951319205	0.6413865182	1.100425086	1.944985871	3.3471021045000002	0.015195791935000001	13.0	454.5	0.69767922095	0.78173122005	1.0180049009	0.2362736808500001	0.4857142857142857	1.0	0.0	0.0001873031993837
Corynebacterium_durum	7	7	0.9578424112	0.7621661668999999	1.4249482945	1.942402807	4.499615778	0.02481497606	20.0	1842.0	0.9725942325		0.9578424112				0.0	9.44948124452539e-05
Sphingomonas_aquatilis	17	17	0.9513270298	0.6449749301	1.099293179	1.933650464	58.86666667	0.006726457399	21.0	2141.0	0.9880828356	0.9983852023	0.6633200029999999	-0.3350651993000001	0.2765939942410531	0.9668997668997669	0.0	0.0003140119361407
Lancefieldella_rimae	6	6	0.94622043845	0.46129917792499997	1.2156322355	1.9287805025	10.608376627	0.1133971292	24.5	983.5	0.96296597		0.94622043845				0.0	4.73151813429125e-05
Lachnoanaerobaculum_saburreum	5	5	0.9357955698	0.7682018513	1.399063217	1.912945232	4.463592864	0.03316326531	6.0	150.0	0.739103564		0.9357955698				0.0	0.00010889063722323495
Pauljensenia_sp000308055	12	12	0.92344245985	0.545941743175	1.30993184	1.8982558285	93.618621105	0.023625429555	14.5	646.0	0.9935350483500001	0.66254728985	1.0966442229	0.43409693304999997			0.0	0.000638217411057
Pseudomonas_aeruginosa	12	12	0.92107530055	0.703910588475	1.5273266782500001	1.893747289	20.241950485	0.004682470003	21.0	2088.0	0.98255283835	1.10612534865	0.92107530055	-0.18505004810000003	1.0	1.0	0.0	0.00073438798082905
Stenotrophomonas_pavanii	5	5	0.9171153236	0.8740291028	0.9744507529	1.888335779	87.4	0.00474293303	10.0	784.0	0.9792483926	0.9171153236					0.0	1.08299650383705e-05
Rothia_dentocariosa	34	34	0.91336611885	0.5173568845500001	1.157762615	1.8844632845	19.124352025	0.036399548535	29.0	1122.0	0.9893034188000001	0.9610405778	0.8656916599	-0.0953489179	0.6706457301490207	1.0	0.0038188534526435	0.0052498337442035
Propionibacterium_acidifaciens	10	10	0.9111036901	0.29343731827499997	1.1517155355	1.8805290435	3.2383160195	0.06779915817	24.5	2476.0	0.9665496406	0.7964682083	0.9111036901	0.11463548180000005	0.6095238095238095	1.0	1.42424340993872e-05	0.0005027150742035499
Capnocytophaga_sputigena	11	11	0.9014328402	0.77112969345	1.5431330715	1.867920223	22.84762955	0.1287015945	23.0	808.0	0.9986127993	1.2454525649	0.9014328402	-0.34401972469999986			0.0	0.0018672999699837
Prevotella_pallens	9	9	0.8934067359	0.6083598435	1.471329205	1.857557328	11.09546123	0.08176614881	21.0	1031.0	0.9955782027	0.88898493925	0.8934067359	0.004421796649999976			0.0	0.0018711393587709
Olsenella_uli	5	5	0.8696262573	0.6860593682	1.003112086	1.82718949	1.59362426	0.01949025487	10.0	968.0	0.8787032962	0.1569785635	0.93636917165	0.7793906081499999			0.0	7.580369021661525e-05
Pauljensenia_hongkongensis	10	10	0.864800368	0.5293081305999999	1.1014364317499998	1.8322691139999998	10.2242015455	0.055900621115	33.0	288.0	0.90468555275	1.024591005	0.705009731	-0.319581274			0.0	0.0001638057016056
Porphyromonas_pasteri	20	20	0.86053127215	0.693053601725	1.151261554	1.8165224379999998	19.484157625	0.040616246499999994	24.0	1614.5	0.9972550999500001	0.7164782792	1.00431914915	0.28784086995000013	0.05067079463364293	0.3445614035087719	3.63627423581118e-05	0.0016860445589419
Neisseria_elongata	15	15	0.8511683693	0.6796381216	1.3841526000000002	1.803961275	4.735287421	0.06819590825	23.0	1485.0	0.9988351893	1.302960083	0.82603784945	-0.4769222335500001	0.734065934065934	1.0	4.43464870983941e-05	0.0016528712393739
