genome	gc	mode	ptr	rep	depth	log2ptr	note	out
g00_Buchnera_aphidicola_Y	26.0900	A_k4	1.0000	2	5.0000	0.9745	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr1.0__r2__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	1.5000	1	0.5000	1.1521	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr1.5__r1__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	1.5000	1	1.0000	1.0143	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr1.5__r1__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	1.5000	1	2.0000	1.3141	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr1.5__r1__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	1.5000	1	5.0000	1.5355	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr1.5__r1__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	1.5000	2	0.5000		nan	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr1.5__r2__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	1.5000	2	1.0000	1.3146	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr1.5__r2__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	1.5000	2	2.0000	1.4921	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr1.5__r2__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	1.5000	2	5.0000	1.5435	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr1.5__r2__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	2.0000	1	0.5000		nan	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr2.0__r1__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	2.0000	1	1.0000	1.3059	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr2.0__r1__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	2.0000	1	2.0000	1.7442	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr2.0__r1__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	2.0000	1	5.0000	1.8436	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr2.0__r1__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	2.0000	2	0.5000	0.3690	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr2.0__r2__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	2.0000	2	1.0000	1.4331	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr2.0__r2__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	2.0000	2	2.0000	1.7079	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr2.0__r2__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	2.0000	2	5.0000	1.8454	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr2.0__r2__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k8	0.5000	1	0.5000	0.4631	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k8__g00_Buchnera_aphidicola_Y__ptr0.5__r1__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k8	0.5000	1	1.0000	0.4744	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k8__g00_Buchnera_aphidicola_Y__ptr0.5__r1__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k8	0.5000	1	2.0000	0.4435	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k8__g00_Buchnera_aphidicola_Y__ptr0.5__r1__2.0x
