genome	gc	mode	depth	n	failed	r	rmse	slope
g09_Escherichia_sp005843885	50.7	A_k2	0.5	7	1	0.978	0.281	1.049
g09_Escherichia_sp005843885	50.7	A_k4	0.5	8	0	0.995	0.24	1.054
g09_Escherichia_sp005843885	50.7	A_k8	0.5	8	0	0.996	0.243	1.053
g09_Escherichia_sp005843885	50.7	E_s104	0.5	8	0	0.97	0.407	0.8
g09_Escherichia_sp005843885	50.7	E_s123	0.5	8	0	0.974	0.369	0.871
g09_Escherichia_sp005843885	50.7	A_k16	1.0	8	0	0.995	0.141	0.951
g09_Escherichia_sp005843885	50.7	A_k2	1.0	8	0	0.98	0.213	0.972
g09_Escherichia_sp005843885	50.7	A_k4	1.0	8	0	0.994	0.171	1.055
g09_Escherichia_sp005843885	50.7	A_k8	1.0	8	0	0.994	0.119	0.982
g09_Escherichia_sp005843885	50.7	E_s104	1.0	8	0	0.998	0.126	0.938
g09_Escherichia_sp005843885	50.7	E_s123	1.0	8	0	0.998	0.113	0.953
g09_Escherichia_sp005843885	50.7	A_k16	2.0	8	0	0.996	0.061	0.968
g09_Escherichia_sp005843885	50.7	A_k2	2.0	8	0	0.997	0.047	0.979
g09_Escherichia_sp005843885	50.7	A_k4	2.0	8	0	0.995	0.061	0.959
g09_Escherichia_sp005843885	50.7	A_k8	2.0	8	0	0.994	0.066	0.976
g09_Escherichia_sp005843885	50.7	E_s104	2.0	8	0	0.999	0.034	0.966
g09_Escherichia_sp005843885	50.7	E_s123	2.0	8	0	0.999	0.038	0.966
g09_Escherichia_sp005843885	50.7	A_k16	5.0	8	0	0.999	0.02	1.001
g09_Escherichia_sp005843885	50.7	A_k2	5.0	8	0	0.999	0.028	1.007
g09_Escherichia_sp005843885	50.7	A_k4	5.0	8	0	0.999	0.028	1.014
g09_Escherichia_sp005843885	50.7	A_k8	5.0	8	0	0.999	0.025	1.011
g09_Escherichia_sp005843885	50.7	E_s104	5.0	8	0	1.0	0.014	0.999
g09_Escherichia_sp005843885	50.7	E_s123	5.0	8	0	1.0	0.016	1.0
g10_Klebsiella_pneumoniae	57.0	A_k16	0.5	8	0	0.921	0.357	0.654
g10_Klebsiella_pneumoniae	57.0	A_k2	0.5	8	0	0.931	0.353	0.696
g10_Klebsiella_pneumoniae	57.0	A_k4	0.5	8	0	0.962	0.292	0.826
g10_Klebsiella_pneumoniae	57.0	A_k8	0.5	8	0	0.955	0.306	0.716
g10_Klebsiella_pneumoniae	57.0	E_s106	0.5	8	0	0.972	0.327	0.7
g10_Klebsiella_pneumoniae	57.0	E_s129	0.5	8	0	0.985	0.297	0.824
g10_Klebsiella_pneumoniae	57.0	A_k16	1.0	8	0	0.995	0.174	0.912
g10_Klebsiella_pneumoniae	57.0	A_k2	1.0	8	0	0.999	0.164	0.869
g10_Klebsiella_pneumoniae	57.0	A_k4	1.0	8	0	0.995	0.141	0.906
g10_Klebsiella_pneumoniae	57.0	A_k8	1.0	8	0	0.99	0.2	0.943
g10_Klebsiella_pneumoniae	57.0	E_s106	1.0	8	0	0.992	0.176	0.936
g10_Klebsiella_pneumoniae	57.0	E_s129	1.0	8	0	0.989	0.168	0.979
