genome	gc	mode	ptr	rep	depth	log2ptr	note
g13_Pseudomonas_aeruginosa	65.3000	E_s134	1.5000	2	0.5000	1.0604	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	1.5000	2	1.0000	1.3739	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	1.5000	2	2.0000	1.4911	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	1.5000	2	5.0000	1.4997	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	2.0000	1	0.5000	1.5273	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	2.0000	1	1.0000	1.7643	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	2.0000	1	2.0000	2.0310	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	2.0000	1	5.0000	2.0069	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	2.0000	2	0.5000	1.4647	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	2.0000	2	1.0000	1.9131	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	2.0000	2	2.0000	1.9639	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	2.0000	2	5.0000	1.8911	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	0.5000	1	0.5000	0.4641	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	0.5000	1	1.0000	0.4236	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	0.5000	1	2.0000	0.4219	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	0.5000	1	5.0000	0.4805	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	0.5000	2	0.5000	0.6195	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	0.5000	2	1.0000	0.4975	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	0.5000	2	2.0000	0.5327	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	0.5000	2	5.0000	0.5024	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	1.0000	1	0.5000	0.7920	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	1.0000	1	1.0000	0.8018	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	1.0000	1	2.0000	0.9644	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	1.0000	1	5.0000	1.0121	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	1.0000	2	0.5000	0.7104	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	1.0000	2	1.0000	0.9473	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	1.0000	2	2.0000	0.9500	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	1.0000	2	5.0000	1.0099	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	1.5000	1	0.5000	1.1808	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	1.5000	1	1.0000	1.3813	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	1.5000	1	2.0000	1.4932	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s200	1.5000	1	5.0000	1.4485	ok
