genome	gc	arm	cond	ptr	rep	depth	log2ptr	coverage	note
g13_Pseudomonas_aeruginosa	65.3000	enzyme	frag	2.0000	1	1.0000	0.6222	0.9491	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	frag	2.0000	1	5.0000	0.7299	3.9040	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	frag	2.0000	2	1.0000	0.6257	0.9231	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	frag	2.0000	2	5.0000	0.6867	3.8996	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	frag	0.5000	1	1.0000	0.1621	0.8032	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	frag	0.5000	1	5.0000	0.1637	3.9941	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	frag	0.5000	2	1.0000	0.1052	0.7998	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	frag	0.5000	2	5.0000	0.1729	3.9973	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	frag	1.0000	1	1.0000	0.2336	0.8032	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	frag	1.0000	1	5.0000	0.3690	3.9972	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	frag	1.0000	2	1.0000	0.2994	0.7991	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	frag	1.0000	2	5.0000	0.3656	3.9864	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	frag	2.0000	1	1.0000	0.4737	0.8050	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	frag	2.0000	1	5.0000	0.7141	3.9730	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	frag	2.0000	2	1.0000	0.5662	0.8010	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	frag	2.0000	2	5.0000	0.7106	3.9987	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	scafRel	0.5000	1	1.0000	0.3983	0.8291	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	scafRel	0.5000	1	5.0000	0.4796	4.0955	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	scafRel	0.5000	2	1.0000	0.4406	0.8200	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	scafRel	0.5000	2	5.0000	0.4889	4.0870	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	scafRel	1.0000	1	1.0000	0.9002	0.8066	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	scafRel	1.0000	1	5.0000	0.9944	4.0752	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	scafRel	1.0000	2	1.0000	0.9495	0.8216	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	scafRel	1.0000	2	5.0000	1.0235	4.0925	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	scafRel	2.0000	1	1.0000	1.7864	0.8272	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	scafRel	2.0000	1	5.0000	1.9565	4.0681	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	scafRel	2.0000	2	1.0000	1.8186	0.8100	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	scafRel	2.0000	2	5.0000	1.9503	4.0764	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	scafRel	0.5000	1	1.0000	0.3072	0.8022	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	scafRel	0.5000	1	5.0000	0.4808	3.9998	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	scafRel	0.5000	2	1.0000	0.4664	0.8015	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	scafRel	0.5000	2	5.0000	0.4817	3.9986	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	scafRel	1.0000	1	1.0000	0.8024	0.8009	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	scafRel	1.0000	1	5.0000	1.0012	3.9984	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	scafRel	1.0000	2	1.0000	0.8852	0.8030	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	scafRel	1.0000	2	5.0000	1.0020	3.9872	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	scafRel	2.0000	1	1.0000	1.7813	0.8004	ok
