flag_config	arm	medium	cov	log2ptr	growth_rate	pred
without_windows	E_s104	M18	0.5000		0.7413	0.8578
without_windows	E_s104	M18	10.0000	0.8324	0.7413	0.8578
without_windows	E_s104	M18	1.0000	0.8941	0.7413	0.8578
without_windows	E_s104	M18	2.0000	0.7757	0.7413	0.8578
without_windows	E_s104	M18	5.0000	0.8789	0.7413	0.8578
without_windows	E_s104	M19	0.5000	0.1762	0.5776	0.8862
without_windows	E_s104	M19	10.0000	0.8527	0.5776	0.8862
without_windows	E_s104	M19	1.0000	0.6973	0.5776	0.8862
without_windows	E_s104	M19	2.0000	0.4548	0.5776	0.8862
without_windows	E_s104	M19	5.0000	0.8308	0.5776	0.8862
without_windows	E_s104	M1	0.5000		1.7207	1.7250
without_windows	E_s104	M1	10.0000	1.7730	1.7207	1.7250
without_windows	E_s104	M1	1.0000	1.3349	1.7207	1.7250
without_windows	E_s104	M1	2.0000	1.6074	1.7207	1.7250
without_windows	E_s104	M1	5.0000	1.6907	1.7207	1.7250
without_windows	E_s104	M22	0.5000	0.0697	0.4892	0.7233
without_windows	E_s104	M22	10.0000	0.7011	0.4892	0.7233
without_windows	E_s104	M22	1.0000	0.6315	0.4892	0.7233
without_windows	E_s104	M22	2.0000	0.7091	0.4892	0.7233
without_windows	E_s104	M22	5.0000	0.6881	0.4892	0.7233
without_windows	E_s104	M23	0.5000		0.4770	0.5420
without_windows	E_s104	M23	10.0000	0.5762	0.4770	0.5420
without_windows	E_s104	M23	1.0000	0.3093	0.4770	0.5420
without_windows	E_s104	M23	2.0000	0.4087	0.4770	0.5420
without_windows	E_s104	M23	5.0000	0.5556	0.4770	0.5420
without_windows	E_s104	M24	0.5000	0.2122	0.4648	0.6861
without_windows	E_s104	M24	10.0000	0.6479	0.4648	0.6861
without_windows	E_s104	M24	1.0000	0.4128	0.4648	0.6861
without_windows	E_s104	M24	2.0000	0.3466	0.4648	0.6861
without_windows	E_s104	M24	5.0000	0.6228	0.4648	0.6861
without_windows	E_s104	M25	0.5000		0.4346	0.6425
without_windows	E_s104	M25	10.0000	0.6688	0.4346	0.6425
without_windows	E_s104	M25	1.0000	0.5760	0.4346	0.6425
without_windows	E_s104	M25	2.0000	0.5082	0.4346	0.6425
without_windows	E_s104	M25	5.0000	0.5579	0.4346	0.6425
without_windows	E_s104	M27	0.5000	0.0885	0.3992	0.5526
without_windows	E_s104	M27	10.0000	0.5188	0.3992	0.5526
without_windows	E_s104	M27	1.0000	0.5311	0.3992	0.5526
without_windows	E_s104	M27	2.0000	0.2581	0.3992	0.5526
without_windows	E_s104	M27	5.0000	0.5773	0.3992	0.5526
without_windows	E_s104	M2	0.5000	0.7585	1.5100	1.6844
without_windows	E_s104	M2	10.0000	1.7950	1.5100	1.6844
without_windows	E_s104	M2	1.0000	1.3260	1.5100	1.6844
without_windows	E_s104	M2	2.0000	1.4867	1.5100	1.6844
without_windows	E_s104	M2	5.0000	1.5092	1.5100	1.6844
without_windows	E_s104	M3	0.5000	0.2666	1.4380	1.4630
without_windows	E_s104	M3	10.0000	1.5628	1.4380	1.4630
without_windows	E_s104	M3	1.0000	1.1722	1.4380	1.4630
without_windows	E_s104	M3	2.0000	1.3481	1.4380	1.4630
without_windows	E_s104	M3	5.0000	1.4654	1.4380	1.4630
without_windows	E_s104	M4	0.5000	0.5631	1.3718	1.5315
without_windows	E_s104	M4	10.0000	1.5122	1.3718	1.5315
without_windows	E_s104	M4	1.0000	1.0177	1.3718	1.5315
without_windows	E_s104	M4	2.0000	1.2490	1.3718	1.5315
without_windows	E_s104	M4	5.0000	1.4422	1.3718	1.5315
without_windows	E_s104	M6	0.5000	0.7202	1.3549	1.3298
without_windows	E_s104	M6	10.0000	1.4369	1.3549	1.3298
without_windows	E_s104	M6	1.0000	0.9905	1.3549	1.3298
without_windows	E_s104	M6	2.0000	1.1065	1.3549	1.3298
without_windows	E_s104	M6	5.0000	1.4118	1.3549	1.3298
without_windows	E_s104	RUN_OUT	0.5000	0.1116		
without_windows	E_s104	RUN_OUT	10.0000	0.0443		
without_windows	E_s104	RUN_OUT	1.0000	0.0502		
without_windows	E_s104	RUN_OUT	2.0000			
